Fungal infection,Nhiễm nấm
Allergy,Dị ứng
GERD,Trào ngược dạ dày thực quản
Chronic cholestasis,Ứ mật mãn tính
Drug Reaction,Phản ứng thuốc
Peptic ulcer diseae,Loét dạ dày tá tràng
AIDS,AIDS
Diabetes,Tiểu đường
Gastroenteritis,Viêm dạ dày ruột
Bronchial Asthma,Hen phế quản
Hypertension,Tăng huyết áp
Migraine,Đau nửa đầu
Cervical spondylosis,Thoái hóa đốt sống cổ
Paralysis (brain hemorrhage),Liệt (xuất huyết não)
Jaundice,Vàng da
Malaria,Sốt rét
Chicken pox,Thủy đậu
Dengue,Sốt xuất huyết
Typhoid,Thương hàn
hepatitis A,Viêm gan A
Hepatitis B,Viêm gan B
Hepatitis C,Viêm gan C
Hepatitis D,Viêm gan siêu vi D
Hepatitis E,Viêm gan E
Alcoholic hepatitis,Viêm gan do rượu
Tuberculosis,Lao
Common Cold,Cảm lạnh thông thường
Pneumonia,Viêm phổi
Dimorphic hemmorhoids(piles),Trĩ
Heart attack,Đau tim
Varicose veins,Suy tĩnh mạch
Hypothyroidism,Suy giáp
Hyperthyroidism,Cường giáp
Hypoglycemia,Hạ đường huyết
Osteoarthristis,Viêm xương khớp
Arthritis,Viêm khớp
(vertigo) Paroymsal  Positional Vertigo,Chóng mặt tư thế kịch phát
Acne,Mụn
Urinary tract infection,Nhiễm trùng đường tiết niệu
Psoriasis,Vảy nến
Impetigo,Chốc lở