itching,Ngứa
skin_rash,Phát ban da
nodal_skin_eruptions,Da nổi sần
continuous_sneezing,Hắt hơi liên tục
shivering,Run rẩy
chills,Ớn lạnh
joint_pain,Đau khớp
stomach_pain,Đau dạ dày
acidity,Chua miệng
ulcers_on_tongue,Nhiệt lưỡi
muscle_wasting,Tiêu cơ
vomiting,Nôn mửa
burning_micturition,Tiểu đau
spotting_ urination,Tiểu ra máu
fatigue,Mệt mỏi
weight_gain,Tăng cân
anxiety,Lo âu
cold_hands_and_feets,Chân tay lạnh
mood_swings,Nhanh chóng thay đổi tâm trạng
weight_loss,Giảm cân
restlessness,Bồn chồn
lethargy,Uể oải
patches_in_throat,Đốm trong cổ họng
irregular_sugar_level,Chỉ số đường huyết bất thường
cough,Ho
high_fever,Sốt cao
sunken_eyes,Mắt trũng sâu
breathlessness,Khó thở
sweating,Đổ mồ hôi
dehydration,Mất nước
indigestion,Khó tiêu
headache,Đau đầu
yellowish_skin,Vàng da
dark_urine,Nước tiểu đậm màu
nausea,Buồn nôn
loss_of_appetite,Chán ăn
pain_behind_the_eyes,Đau phía sau mắt
back_pain,Đau lưng
constipation,Táo bón
abdominal_pain,Đau bụng
diarrhoea,Tiêu chảy
mild_fever,Sốt nhẹ
yellow_urine,Nước tiểu vàng
yellowing_of_eyes,Vàng mắt
acute_liver_failure,Suy gan cấp
fluid_overload,Quá tải dịch
swelling_of_stomach,Đầy bụng
swelled_lymph_nodes,Sưng hạch bạch huyết
malaise,Khó chịu
blurred_and_distorted_vision,"Mắt nhìn mờ, méo mó "
phlegm,Đờm
throat_irritation,Ngứa cổ họng
redness_of_eyes,Mắt đỏ
sinus_pressure,Áp lực xoang
runny_nose,Sổ mũi
congestion,Nghẹt mũi
chest_pain,Tức ngực
weakness_in_limbs,Tê yếu chân tay
fast_heart_rate,Tim đập nhanh
pain_during_bowel_movements,Đi ngoài đau rát
pain_in_anal_region,Đau hậu môn
bloody_stool,Phân có máu
irritation_in_anus,Ngứa hậu môn
neck_pain,Đau cổ
dizziness,Chóng mặt
cramps,Chuột rút
bruising,Bầm tím
obesity,Béo phì
swollen_legs,Phù chân
swollen_blood_vessels,Viêm mạch máu
puffy_face_and_eyes,"Sưng mặt, sưng mắt"
enlarged_thyroid,Phình tuyến giáp
brittle_nails,"Móng tay giòn, dễ gãy"
swollen_extremeties,Phù nề
excessive_hunger,Ăn nhiều
extra_marital_contacts,Quan hệ ngoài hôn nhân
drying_and_tingling_lips,Môi khô ngứa
slurred_speech,Nói lắp
knee_pain,Đau đầu gối
hip_joint_pain,Đau khớp háng
muscle_weakness,Yếu cơ
stiff_neck,Cứng cổ
swelling_joints,Sưng khớp
movement_stiffness,Cứng khớp
spinning_movements,Quay cuồng
loss_of_balance,Mất thăng bằng
unsteadiness,Choáng váng
weakness_of_one_body_side,Tê một bên người
loss_of_smell,Mất mùi
bladder_discomfort,Đau bàng quang
foul_smell_of urine,Nước tiểu có mùi hôi
continuous_feel_of_urine,Mắc tiểu liên tục
passage_of_gases,Xì hơi
internal_itching,Ngứa bên trong
toxic_look_(typhos),Nổi ban
depression,Chán nản
irritability,Hay cáu gắt
muscle_pain,Đau cơ
altered_sensorium,Rối loạn ý thức
red_spots_over_body,Nổi đốm đỏ
belly_pain,Đau bụng trên rón (đau âm ỉ)
abnormal_menstruation,Kinh nguyệt bất thường
dischromic _patches,Rối loạn sắc tố da
watering_from_eyes,Chảy nước mắt
increased_appetite,Thèm ăn
polyuria,Đi tiểu nhiều
family_history,Có tiền sử bệnh trong gia đình
mucoid_sputum,"Đờm, chất nhầy"
rusty_sputum,Đờm màu nâu
lack_of_concentration,Mất tập trung
visual_disturbances,Rối loạn thị giác
receiving_blood_transfusion,Nhận truyền máu
receiving_unsterile_injections,Tiêm không vô trùng
coma,Mê man
stomach_bleeding,Xuất huyết dạ dày
distention_of_abdomen,Chướng bụng
history_of_alcohol_consumption,Tiền sử uống rượu
blood_in_sputum,Khạc đờm ra máu
prominent_veins_on_calf,Giãn tĩnh mạch bắp chân
palpitations,Đánh trống ngực
painful_walking,Đau chân khi đi bộ
pus_filled_pimples,Mụn mủ
blackheads,Mụn đầu đen
scurring,Sẹo mặt
skin_peeling,Tróc vẩy
silver_like_dusting,Vảy lốm đốm bạc
small_dents_in_nails,Rỗ móng tay
inflammatory_nails,Viêm quanh móng
blister,Mụn rộp
red_sore_around_nose,Loét đỏ quanh mũi
yellow_crust_ooze,Dịch vàng chảy ra